allstr,str_num,num_string,allnum,disc_num,nomeaning_num,nomeaning_str,missing10,missing50,targetnum,targetstr
x,r,485,4718,4,1,T,,,1,T
c,r,8118,1234,0,1,T,,,1,T
n,e,7851,5885,4,1,T,,,1,T
y,w,5102,3527,9,1,T,,,1,T
u,y,2013,3940,1,1,T,,,1,T
u,u,4611,6987,0,1,T,,,1,T
y,u,6734,6020,8,1,T,,,1,T
k,1,7159,256,8,1,T,,,1,T
e,t,2068,8717,0,1,T,,,1,T
k,1,2208,3105,8,1,T,,,1,T
y,i,8348,2047,4,1,T,,,1,T
q,i,4860,2089,6,1,T,,,1,T
d,r,2412,4736,9,1,T,,,1,T
s,3,4267,9614,9,1,T,,,1,T
g,q,2645,7778,6,1,T,,,1,T
w,o,8408,5935,4,1,T,,,1,T
c,9,7009,1307,4,1,T,,,1,T
z,4,7185,5629,3,1,T,,,1,T
i,9,7230,4349,0,1,T,,,1,T
a,1,9945,3687,2,1,T,,,1,T
i,q,3349,8859,1,1,T,,,1,T
d,6,7626,1478,7,1,T,,,1,T
k,o,6777,673,2,1,T,,,1,T
x,2,9040,479,4,1,T,,,1,T
y,4,895,3001,8,1,T,,,1,T
t,2,5793,5182,8,1,T,,,1,T
x,i,8018,7463,2,1,T,,,1,T
r,4,9908,6739,8,1,T,,,1,T
p,9,7698,8341,3,1,T,,,1,T
u,r,3908,381,0,1,T,,,1,T
m,3,3030,6193,0,1,T,,,1,T
b,1,6671,9529,4,1,T,,,1,T
h,y,241,746,3,1,T,,,1,T
h,6,9665,8479,3,1,T,,,1,T
a,5,8044,9522,2,1,T,,,1,T
p,5,662,6113,5,1,T,,,1,T
c,i,4481,8947,4,1,T,,,1,T
q,i,7950,6088,2,1,T,,,1,T
h,e,4888,4302,2,1,T,,,1,T
j,p,6022,7488,4,1,T,,,1,T
w,3,7919,429,2,1,T,,,1,T
s,i,4700,1446,8,1,T,,,1,T
w,w,7394,3322,7,1,T,,,1,T
d,e,9028,2666,1,1,T,,,1,T
l,4,8994,4459,6,1,T,,,1,T
n,3,5144,6188,7,1,T,,,1,T
k,8,6619,9714,9,1,T,,,1,T
i,i,6768,2635,6,1,T,,,1,T
j,q,9682,9180,3,1,T,,,1,T
v,7,579,1697,4,1,T,,,1,T
c,t,4726,8737,2,1,T,,,1,T
y,8,4921,4585,4,1,T,,,1,T
e,o,771,7361,3,1,T,,,1,T
n,7,7181,7580,10,1,T,,,1,T
p,t,3474,7755,8,1,T,,,1,T
u,r,503,4605,0,1,T,,,1,T
h,2,5428,5328,2,1,T,,,1,T
m,6,7777,2114,6,1,T,,,1,T
g,p,7684,9840,6,1,T,,,1,T
o,u,329,2112,8,1,T,,,1,T
l,e,4727,616,3,1,T,,,1,T
j,9,6103,3918,5,1,T,,,1,T
a,o,9255,6842,9,1,T,,,1,T
i,i,4626,1369,7,1,T,,,1,T
m,7,3590,2783,7,1,T,,,1,T
d,t,7881,4962,1,1,T,,,1,T
i,3,2920,2375,4,1,T,,,1,T
j,7,2174,177,6,1,T,,,1,T
s,i,3863,2162,1,1,T,,,1,T
t,p,4723,7351,0,1,T,,,1,T
n,9,8560,9710,3,1,T,,,1,T
w,p,5640,9328,1,1,T,,,1,T
c,i,9209,5453,4,1,T,,,1,T
x,e,7409,148,1,1,T,,,1,T
i,6,9278,7786,1,1,T,,,1,T
w,7,5936,7583,10,1,T,,,1,T
h,r,8930,9294,2,1,T,,,1,T
c,p,3891,8277,1,1,T,,,1,T
f,6,4385,4349,2,1,T,,,1,T
r,y,8703,3610,0,1,T,,,1,T
h,y,9582,1932,1,1,T,,,1,T
d,5,8859,4059,6,1,T,,,1,T
p,5,8497,4033,3,1,T,,,1,T
z,w,5526,1297,6,1,T,,,1,T
j,7,1130,1391,1,1,T,,,1,T
u,7,7923,7662,1,1,T,,,1,T
w,p,5717,4600,4,1,T,,,1,T
f,y,1473,3371,0,1,T,,,1,T
m,t,4822,3106,5,1,T,,,1,T
o,3,8462,5403,5,1,T,,,1,T
y,4,2906,5974,5,1,T,,,1,T
i,8,8267,6514,9,1,T,,,1,T
o,w,6145,1116,7,1,T,,,1,T
a,3,3672,5531,4,1,T,,,1,T
o,1,3824,6062,9,1,T,,,1,T
h,w,679,8779,5,1,T,,,1,T
p,y,2206,19,0,1,T,,,1,T
g,o,6813,5611,10,1,T,,,1,T
l,1,2657,7088,5,1,T,,,1,T
t,e,4770,1022,5,1,T,,,1,T
i,o,2156,6902,4,1,T,,,1,T
z,2,812,5172,0,1,T,,,1,T
r,t,6621,6659,2,1,T,,,1,T
i,0,7553,5375,5,1,T,,,1,T
b,r,5146,4745,8,1,T,,,1,T
d,5,2681,2349,8,1,T,,,1,T
x,u,5657,2790,9,1,T,,,1,T
n,r,3927,5495,6,1,T,,,1,T
x,0,1024,8323,8,1,T,,,1,T
g,6,8253,7543,8,1,T,,,1,T
j,i,7216,3516,3,1,T,,,1,T
g,1,2948,8825,3,1,T,,,1,T
p,5,1514,9446,9,1,T,,,1,T
r,o,5662,1495,7,1,T,,,1,T
w,t,3881,9618,9,1,T,,,1,T
q,e,4991,9562,0,1,T,,,1,T
l,0,6514,2890,0,1,T,,,1,T
u,1,5941,2721,4,1,T,,,1,T
q,0,640,2546,6,1,T,,,1,T
w,w,6174,6315,3,1,T,,,1,T
w,9,1408,2774,10,1,T,,,1,T
d,8,9711,1538,7,1,T,,,1,T
v,4,4407,4791,1,1,T,,,1,T
m,t,9106,4028,1,1,T,,,1,T
l,i,1308,8661,6,1,T,,,1,T
q,5,894,6730,3,1,T,,,1,T
y,0,5923,9732,3,1,T,,,1,T
o,3,7278,1817,5,1,T,,,1,T
t,5,3311,9589,4,1,T,,,1,T
d,6,9144,8486,0,1,T,,,1,T
g,0,513,925,0,1,T,,,1,T
i,r,2587,5062,3,1,T,,,1,T
i,9,1278,8330,9,1,T,,,1,T
m,1,6030,8731,4,1,T,,,1,T
d,q,8704,4999,4,1,T,,,1,T
l,2,4747,8650,6,1,T,,,1,T
r,0,7333,8186,4,1,T,,,1,T
k,6,8526,3727,0,1,T,,,1,T
t,2,9224,4383,2,1,T,,,1,T
y,7,2734,2192,7,1,T,,,1,T
h,r,5377,7381,0,1,T,,,1,T
v,1,5912,3337,4,1,T,,,1,T
c,7,5016,9298,2,1,T,,,1,T
l,e,6200,7589,10,1,T,,,1,T
l,8,1787,3678,6,1,T,,,1,T
q,w,5680,3050,4,1,T,,,1,T
y,w,3959,7180,3,1,T,,,1,T
l,3,2483,7435,7,1,T,,,1,T
w,4,7136,8388,10,1,T,,,1,T
z,8,3918,9603,3,1,T,,,1,T
f,3,6991,7904,7,1,T,,,1,T
n,8,4295,8470,6,1,T,,,1,T
a,3,93,9383,5,1,T,,,1,T
i,2,5747,9055,0,1,T,,,1,T
p,5,760,5120,4,1,T,,,1,T
v,3,3345,8217,10,1,T,,,1,T
o,w,7420,4449,0,1,T,,,1,T
l,4,1147,9069,8,1,T,,,1,T
a,e,3130,8616,4,1,T,,,1,T
k,w,421,8126,2,1,T,,,1,T
z,p,8589,5274,9,1,T,,,1,T
a,t,3776,6996,2,1,T,,,1,T
m,4,929,332,3,1,T,,,1,T
p,9,2937,2464,2,1,T,,,1,T
m,3,4366,8371,9,1,T,,,1,T
s,t,9325,3180,7,1,T,,,1,T
l,4,9915,769,1,1,T,,,1,T
n,8,6463,5719,0,1,T,,,1,T
d,9,8408,7976,1,1,T,,,1,T
m,p,7985,6651,0,1,T,,,1,T
n,4,577,2468,10,1,T,,,1,T
l,w,6540,8047,4,1,T,,,1,T
r,6,1649,2158,6,1,T,,,1,T
t,9,7676,4603,10,1,T,,,1,T
t,2,9136,888,6,1,T,,,1,T
w,e,4651,1570,2,1,T,,,1,T
h,2,5767,2576,9,1,T,,,1,T
d,y,5893,5413,10,1,T,,,1,T
l,y,959,8937,5,1,T,,,1,T
n,6,1963,8654,2,1,T,,,1,T
y,q,9895,6922,0,1,T,,,1,T
u,3,9818,472,9,1,T,,,1,T
x,1,2273,9765,0,1,T,,,1,T
w,y,5401,5053,7,1,T,,,1,T
j,9,4993,5923,7,1,T,,,1,T
u,1,7158,649,4,1,T,,,1,T
z,i,2946,3121,9,1,T,,,1,T
o,r,6920,956,1,1,T,,,1,T
n,e,5737,6600,1,1,T,,,1,T
f,6,3961,1322,5,1,T,,,1,T
g,u,5022,5631,3,1,T,,,1,T
u,6,6904,3613,1,1,T,,,1,T
v,1,3802,2750,8,1,T,,,1,T
l,7,3597,7256,9,1,T,,,1,T
c,3,3434,1930,7,1,T,,,1,T
q,6,4768,1477,10,1,T,,,1,T
z,u,1188,2281,2,1,T,,,1,T
q,y,778,8194,2,1,T,,,1,T
p,2,944,8843,2,1,T,,,1,T
x,5,1807,9816,0,1,T,,,1,T
m,1,1514,3520,2,1,T,,,1,T
t,r,3128,2353,2,1,T,,,1,T
g,p,9763,1861,9,1,T,,,1,T
g,r,4752,6106,10,1,T,,,1,T
c,1,7460,7514,3,1,T,,,1,T
l,p,9954,1524,2,1,T,,,1,T
c,r,8954,5205,6,1,T,,,1,T
f,i,9764,8291,7,1,T,,,1,T
g,9,9346,6621,8,1,T,,,1,T
i,9,5561,4576,7,1,T,,,1,T
i,5,979,8230,1,1,T,,,1,T
n,0,8400,355,9,1,T,,,1,T
b,2,4407,2605,8,1,T,,,1,T
s,0,4067,3049,8,1,T,,,1,T
b,i,838,2250,8,1,T,,,1,T
d,i,4636,1628,4,1,T,,,1,T
u,5,3239,1475,1,1,T,,,1,T
d,t,943,7447,1,1,T,,,1,T
w,6,2254,6577,2,1,T,,,1,T
w,2,9272,2496,10,1,T,,,1,T
j,6,7587,9528,1,1,T,,,1,T
s,2,999,3588,0,1,T,,,1,T
x,0,1552,2653,10,1,T,,,1,T
y,o,6276,552,0,1,T,,,1,T
m,t,2897,13,7,1,T,,,1,T
p,e,7964,6465,4,1,T,,,1,T
k,9,604,6342,0,1,T,,,1,T
f,6,6807,2116,0,1,T,,,1,T
g,7,9161,383,3,1,T,,,1,T
c,5,6450,5865,10,1,T,,,1,T
k,p,4796,4188,8,1,T,,,1,T
b,5,388,4800,5,1,T,,,1,T
k,y,7480,9818,1,1,T,,,1,T
x,u,9048,6301,3,1,T,,,1,T
v,7,9886,2804,10,1,T,,,1,T
s,9,3553,656,6,1,T,,,1,T
c,i,5052,316,3,1,T,,,1,T
l,7,6507,6028,0,1,T,,,1,T
b,i,8110,1067,7,1,T,,,1,T
k,i,8390,2305,9,1,T,,,1,T
c,5,3837,5072,3,1,T,,,1,T
h,0,1239,4436,5,1,T,,,1,T
e,2,4920,3882,9,1,T,,,1,T
q,5,411,2868,4,1,T,,,1,T
y,t,8087,5448,2,1,T,,,1,T
q,e,3656,80,3,1,T,,,1,T
i,q,8166,4228,3,1,T,,,1,T
i,t,4351,3106,3,1,T,,,1,T
b,w,4123,3358,10,1,T,,,1,T
c,u,5372,2817,6,1,T,,,1,T
l,2,7458,6368,1,1,T,,,1,T
w,y,5794,4854,9,1,T,,,1,T
c,3,7757,4810,1,1,T,,,1,T
u,3,2162,3280,10,1,T,,,1,T
q,4,6436,2303,5,1,T,,,1,T
q,t,3143,8244,5,1,T,,,1,T
m,y,7178,9399,10,1,T,,,1,T
w,o,4917,4419,9,1,T,,,1,T
m,w,8495,2929,6,1,T,,,1,T
v,y,1790,3222,1,1,T,,,1,T
q,t,7169,6927,9,1,T,,,1,T
r,w,6615,8081,9,1,T,,,1,T
c,5,1721,2574,5,1,T,,,1,T
t,p,8769,7526,8,1,T,,,1,T
x,t,7181,7131,10,1,T,,,1,T
k,t,6194,472,0,1,T,,,1,T
m,r,9108,6253,1,1,T,,,1,T
m,0,3733,1700,10,1,T,,,1,T
y,o,8762,2747,8,1,T,,,1,T
y,t,5630,9721,9,1,T,,,1,T
b,5,6399,8982,7,1,T,,,1,T
d,o,3025,8854,8,1,T,,,1,T
g,u,2864,6079,8,1,T,,,1,T
v,q,8772,9773,7,1,T,,,1,T
l,t,5893,2936,0,1,T,,,1,T
j,u,1059,797,2,1,T,,,1,T
d,q,3341,2958,8,1,T,,,1,T
m,r,3811,7858,6,1,T,,,1,T
p,8,1589,744,8,1,T,,,1,T
g,o,637,7751,8,1,T,,,1,T
r,o,7158,9346,3,1,T,,,1,T
g,4,5146,8317,0,1,T,,,1,T
u,9,3107,5034,1,1,T,,,1,T
w,5,9447,8162,3,1,T,,,1,T
y,4,3036,2685,7,1,T,,,1,T
v,4,4725,8502,5,1,T,,,1,T
u,o,8755,3189,8,1,T,,,1,T
c,t,1058,1090,2,1,T,,,1,T
y,3,5433,9067,8,1,T,,,1,T
n,7,5907,8845,2,1,T,,,1,T
q,8,9961,9591,6,1,T,,,1,T
h,q,1354,7117,0,1,T,,,1,T
u,r,9236,2227,2,1,T,,,1,T
k,9,6111,2183,10,1,T,,,1,T
f,p,4867,3947,7,1,T,,,1,T
y,q,3949,6791,1,1,T,,,1,T
z,q,5219,4867,2,1,T,,,1,T
y,e,6659,427,2,1,T,,,1,T
z,3,3259,2737,0,1,T,,,1,T
i,7,6072,5105,7,1,T,,,1,T
c,r,8294,4194,2,1,T,,,1,T
i,e,4104,7180,3,1,T,,,1,T
a,y,3168,4645,9,1,T,,,1,T
r,r,2803,9097,5,1,T,,,1,T
u,3,6910,609,2,1,T,,,1,T
y,w,9520,9760,9,1,T,,,1,T
u,r,5802,6172,6,1,T,,,1,T
u,r,9886,8706,4,1,T,,,1,T
r,5,7824,4648,3,1,T,,,1,T
h,5,3046,9553,10,1,T,,,1,T
u,0,3218,2182,1,1,T,,,1,T
u,7,2742,418,5,1,T,,,1,T
n,9,4071,6978,3,1,T,,,1,T
l,i,9934,1823,6,1,T,,,1,T
e,u,4446,6523,5,1,T,,,1,T
z,o,4375,5035,8,1,T,,,1,T
h,5,9934,8476,8,1,T,,,1,T
w,r,8134,7531,10,1,T,,,1,T
n,7,196,1180,8,1,T,,,1,T
y,9,4931,5398,0,1,T,,,1,T
o,e,9316,7146,6,1,T,,,1,T
e,7,7170,6262,5,1,T,,,1,T
c,o,7914,9607,4,1,T,,,1,T
d,2,1969,6927,1,1,T,,,1,T
j,o,7870,6949,10,1,T,,,1,T
y,w,4707,8885,9,1,T,,,1,T
h,y,6501,6110,6,1,T,,,1,T
g,6,4363,2527,6,1,T,,,1,T
o,9,1342,5230,10,1,T,,,1,T
e,4,2585,5417,9,1,T,,,1,T
m,8,9492,4644,10,1,T,,,1,T
x,4,7899,4425,3,1,T,,,1,T
r,u,7885,8526,7,1,T,,,1,T
i,t,9144,3399,0,1,T,,,1,T
h,2,471,250,5,1,T,,,1,T
x,u,3980,5192,4,1,T,,,1,T
l,p,4508,8597,10,1,T,,,1,T
l,3,6874,6492,3,1,T,,,1,T
c,4,5640,7876,2,1,T,,,1,T
w,8,3214,1768,1,1,T,,,1,T
g,9,8913,9214,8,1,T,,,1,T
y,6,9173,5022,5,1,T,,,1,T
u,e,1175,1534,9,1,T,,,1,T
b,q,5835,268,3,1,T,,,1,T
s,e,5867,4149,10,1,T,,,1,T
b,w,2640,742,6,1,T,,,1,T
h,4,4419,5998,2,1,T,,,1,T
m,r,2651,8556,6,1,T,,,1,T
d,w,310,6904,4,1,T,,,1,T
j,t,9434,63,4,1,T,,,1,T
k,0,6176,7995,0,1,T,,,1,T
t,w,6688,9212,8,1,T,,,1,T
c,y,7073,4643,3,1,T,,,1,T
s,2,6890,6534,1,1,T,,,1,T
b,6,2237,3403,3,1,T,,,1,T
i,2,9558,8632,3,1,T,,,1,T
u,7,9647,9814,1,1,T,,,1,T
q,6,4060,8290,7,1,T,,,1,T
y,9,7354,2554,8,1,T,,,1,T
e,u,998,3136,8,1,T,,,1,T
q,6,5004,2950,9,1,T,,,1,T
a,8,3922,6132,6,1,T,,,1,T
l,o,5036,9878,2,1,T,,,1,T
a,e,3860,6173,4,1,T,,,1,T
u,o,9302,1954,6,1,T,,,1,T
p,i,8334,2450,7,1,T,,,1,T
r,8,8181,2064,6,1,T,,,1,T
b,8,8129,3069,4,1,T,,,1,T
d,w,8982,3413,7,1,T,,,1,T
q,w,9835,267,8,1,T,,,1,T
w,7,8592,9122,4,1,T,,,1,T
h,1,2833,735,1,1,T,,,1,T
p,i,1662,6189,0,1,T,,,1,T
p,1,5481,295,5,1,T,,,1,T
c,o,5212,719,6,1,T,,,1,T
t,r,6437,6060,2,1,T,,,1,T
a,0,9759,9564,4,1,T,,,1,T
b,1,7276,6455,3,1,T,,,1,T
m,e,872,686,6,1,T,,,1,T
n,0,6937,3638,1,1,T,,,1,T
w,p,2664,1840,10,1,T,,,1,T
p,p,8894,2054,4,1,T,,,1,T
g,8,5788,6765,3,1,T,,,1,T
o,u,1614,8359,4,1,T,,,1,T
x,p,9644,962,6,1,T,,,1,T
j,u,4797,877,0,1,T,,,1,T
n,8,7367,6237,4,1,T,,,1,T
g,8,8479,5201,1,1,T,,,1,T
l,u,3293,2422,10,1,T,,,1,T
s,7,285,7746,0,1,T,,,1,T
r,p,1301,9370,9,1,T,,,1,T
w,e,3455,7356,10,1,T,,,1,T
m,p,6897,8956,10,1,T,,,1,T
o,8,553,7072,0,1,T,,,1,T
h,t,7197,5601,8,1,T,,,1,T
b,u,6149,6691,10,1,T,,,1,T
i,3,1321,2579,9,1,T,,,1,T
f,9,1089,8980,9,1,T,,,1,T
i,y,6498,3300,3,1,T,,,1,T
n,r,8520,1502,9,1,T,,,1,T
d,5,9261,4353,5,1,T,,,1,T
i,4,6196,3406,9,1,T,,,1,T
y,q,8380,5863,6,1,T,,,1,T
o,e,8283,5996,8,1,T,,,1,T
l,7,3452,4172,1,1,T,,,1,T
o,9,3682,2859,7,1,T,,,1,T
o,4,9608,2534,9,1,T,,,1,T
p,9,6400,9097,4,1,T,,,1,T
q,6,7338,2845,10,1,T,,,1,T
t,i,9877,8169,2,1,T,,,1,T
h,5,7401,8880,7,1,T,,,1,T
r,1,7718,4713,4,1,T,,,1,T
c,0,4895,7695,6,1,T,,,1,T
c,3,1276,3551,9,1,T,,,1,T
w,o,1425,6283,3,1,T,,,1,T
h,4,3354,3270,7,1,T,,,1,T
w,0,4547,37,10,1,T,,,1,T
h,8,3440,2342,10,1,T,,,1,T
m,0,3927,1294,10,1,T,,,1,T
j,q,2571,5787,7,1,T,,,1,T
e,w,836,8410,9,1,T,,,1,T
n,p,4951,4515,5,1,T,,,1,T
x,e,9891,9865,7,1,T,,,1,T
g,1,2687,293,9,1,T,,,1,T
y,q,7348,3599,4,1,T,,,1,T
h,0,6111,9265,9,1,T,,,1,T
p,o,7929,8469,4,1,T,,,1,T
o,8,8574,5129,8,1,T,,,1,T
v,3,4894,4265,3,1,T,,,1,T
z,7,7892,3487,5,1,T,,,1,T
f,1,4696,3711,7,1,T,,,1,T
f,3,6366,2856,6,1,T,,,1,T
l,8,1423,561,6,1,T,,,1,T
h,u,5731,3172,9,1,T,,,1,T
z,4,727,2297,3,1,T,,,1,T
z,1,2254,5059,6,1,T,1,,1,T
n,2,82,3516,0,1,T,1,,1,T
j,u,3213,3155,8,1,T,1,,1,T
b,p,1324,6565,0,1,T,1,,1,T
c,3,9757,3298,4,1,T,1,,1,T
z,9,6775,7322,5,1,T,1,,1,T
l,o,1955,5068,1,1,T,1,,1,T
u,9,453,8888,9,1,T,1,,1,T
c,1,9927,1704,3,1,T,1,,1,T
m,u,4111,8175,2,1,T,1,,1,T
n,2,6825,7743,3,1,T,1,,1,T
y,3,3916,9599,6,1,T,1,,1,T
s,8,976,9233,1,1,T,1,,1,T
x,9,8853,3978,7,1,T,1,,1,T
i,5,4784,6919,4,1,T,1,,1,T
k,i,3960,5018,9,1,T,1,,1,T
b,0,8069,4891,2,1,T,1,,1,T
a,o,5358,8596,8,1,T,1,,1,T
g,u,8117,5906,2,1,T,1,,1,T
f,u,3337,7811,7,1,T,1,,1,T
p,4,9749,3465,9,1,T,1,,1,T
n,9,5947,8812,6,1,T,1,,1,T
s,p,2082,8474,9,1,T,1,,1,T
h,y,5972,334,0,1,T,1,,1,T
h,2,1968,8271,9,1,T,1,,1,T
r,3,6711,2516,3,1,T,1,,1,T
z,t,3041,9283,0,1,T,1,,1,T
d,i,9405,7358,0,1,T,1,,1,T
u,5,4127,2974,2,1,T,1,,1,T
e,2,5189,3707,3,1,T,1,,1,T
f,3,7111,6043,0,1,T,1,,1,T
y,r,3080,4929,5,1,T,1,,1,T
j,1,1882,606,5,1,T,1,,1,T
l,3,7443,8932,5,1,T,1,,1,T
m,3,2697,3412,5,1,T,1,,1,T
e,6,349,9537,2,1,T,1,,1,T
c,3,3888,7466,9,1,T,1,,1,T
k,u,1606,4131,6,1,T,1,,1,T
x,3,4898,8316,7,1,T,1,,1,T
b,4,7041,90,0,1,T,1,,1,T
q,2,8773,5535,9,1,T,1,,1,T
h,q,517,9785,2,1,T,1,,1,T
y,7,1382,2034,5,1,T,1,,1,T
s,5,2823,3815,4,1,T,1,,1,T
r,9,2209,6375,5,1,T,1,,1,T
k,e,4301,7310,1,1,T,1,,1,T
l,t,561,2289,5,1,T,1,,1,T
d,u,2218,2930,3,1,T,1,,1,T
n,5,6842,2959,7,1,T,1,,1,T
k,t,1950,5276,4,1,T,1,,1,T
l,5,531,4806,1,1,T,1,,1,T
o,r,8845,3429,6,1,T,1,,1,T
j,1,6213,9789,10,1,T,1,,1,T
g,0,9897,1401,10,1,T,1,,1,T
s,6,2625,202,9,1,T,1,,1,T
a,w,4513,7003,10,1,T,1,,1,T
e,6,6019,3902,1,1,T,1,,1,T
i,4,8094,4285,7,1,T,1,,1,T
p,9,8873,2049,9,1,T,1,,1,T
d,2,816,7166,5,1,T,1,,1,T
d,3,5857,7282,6,1,T,1,,1,T
y,8,9995,9072,3,1,T,1,,1,T
n,6,1674,3771,1,1,T,1,,1,T
w,w,8861,5501,8,1,T,1,,1,T
e,1,5434,5063,8,1,T,1,,1,T
b,w,5287,188,4,1,T,1,,1,T
r,y,912,6381,9,1,T,1,,1,T
j,9,2892,6154,1,1,T,1,,1,T
p,4,9464,984,10,1,T,1,,1,T
l,8,7037,7938,4,1,T,1,,1,T
i,3,405,4722,2,1,T,1,,1,T
b,5,4345,8945,5,1,T,1,,1,T
w,1,370,5771,1,1,T,1,,1,T
d,6,3490,7819,7,1,T,1,,1,T
x,t,3991,9926,3,1,T,1,,1,T
n,1,6072,2354,6,1,T,1,,1,T
n,r,1367,6451,2,1,T,1,,1,T
j,u,6634,224,10,1,T,1,,1,T
a,4,2879,9462,3,1,T,1,,1,T
f,u,5727,7630,4,1,T,1,,1,T
w,9,4251,8149,5,1,T,1,,1,T
h,w,6808,3383,0,1,T,1,,1,T
z,i,9261,7463,8,1,T,1,,1,T
y,y,4410,3939,4,1,T,1,,1,T
g,2,411,8135,4,1,T,1,,1,T
y,5,4233,7563,6,1,T,1,,1,T
l,9,7664,3489,2,1,T,1,,1,T
w,o,1206,7520,9,1,T,1,,1,T
j,3,5276,9995,6,1,T,1,,1,T
n,p,2503,233,7,1,T,1,,1,T
l,7,3363,6695,3,1,T,1,,1,T
h,r,9389,9202,1,1,T,1,,1,T
j,u,8754,8135,3,1,T,1,,1,T
c,e,6703,9371,10,1,T,1,,1,T
e,o,6368,1912,5,1,T,1,,1,T
e,p,2277,3833,2,1,T,1,,1,T
y,5,9195,1440,6,1,T,1,,1,T
k,w,1701,5788,3,1,T,1,,1,T
y,o,9657,7662,3,1,T,1,,1,T
u,p,6591,2044,0,1,T,1,,1,T
p,4,118,7834,7,1,T,1,,1,T
s,9,9865,5512,4,1,T,1,,1,T
y,q,5695,9605,4,1,T,1,,1,T
f,r,2180,1618,4,1,T,1,,1,T
v,e,3782,5827,7,1,T,1,,1,T
c,4,6862,6284,5,1,T,1,,1,T
u,7,9512,8626,7,1,T,1,,1,T
k,1,5251,4044,0,1,T,1,,1,T
n,y,8445,8347,3,1,T,1,,1,T
c,4,6253,9741,5,1,T,1,,1,T
i,e,5600,1325,4,1,T,1,,1,T
o,q,781,4784,1,1,T,1,,1,T
m,7,453,3009,10,1,T,1,,1,T
o,e,8027,3223,10,1,T,1,,1,T
c,9,8692,2246,9,1,T,1,,1,T
v,o,7409,5560,5,1,T,1,,1,T
g,0,9833,5655,2,1,T,1,,1,T
r,r,3492,3926,10,1,T,1,,1,T
i,4,6356,4721,4,1,T,1,,1,T
c,4,1865,2158,9,1,T,1,,1,T
r,u,338,540,7,1,T,1,,1,T
d,t,6201,1817,7,1,T,1,,1,T
n,4,678,9733,0,1,T,1,,1,T
r,6,3961,632,4,1,T,1,,1,T
a,0,1824,395,0,1,T,1,,1,T
p,9,2833,9965,10,1,T,1,,1,T
w,u,4864,940,7,1,T,1,,1,T
z,p,2711,8130,9,1,T,1,,1,T
c,t,8736,3630,2,1,T,1,,1,T
j,9,8916,1886,10,1,T,1,,1,T
d,9,7592,2445,4,1,T,1,,1,T
